Classifier,C,penalty,solver,max_iter,n_neighbors,weights,metric,p,n_estimators,max_depth,min_samples_split,min_samples_leaf,kernel,gamma,degree,learning_rate,subsample,Mean_CV_Score,Std_CV_Score,Is_Best
LogisticRegression,0.1,l1,saga,500.0,,,,,,,,,,,,,,0.9709665287702144,0.003882207717356575,False
LogisticRegression,0.1,l2,saga,500.0,,,,,,,,,,,,,,0.978638585934562,0.0015669549948100652,False
LogisticRegression,0.1,l1,saga,1000.0,,,,,,,,,,,,,,0.9709665287702144,0.003882207717356575,False
LogisticRegression,0.1,l2,saga,1000.0,,,,,,,,,,,,,,0.978638585934562,0.0015669549948100652,False
LogisticRegression,1.0,l1,saga,500.0,,,,,,,,,,,,,,0.9817976682963521,0.0015705613401896107,False
LogisticRegression,1.0,l2,saga,500.0,,,,,,,,,,,,,,0.9831515607371193,0.0015304242158237032,False
LogisticRegression,1.0,l1,saga,1000.0,,,,,,,,,,,,,,0.9820233170364798,0.001620207538814463,False
LogisticRegression,1.0,l2,saga,1000.0,,,,,,,,,,,,,,0.9831515607371193,0.0015304242158237032,False
LogisticRegression,10.0,l1,saga,500.0,,,,,,,,,,,,,,0.9827754795035727,0.0012896899736353498,False
LogisticRegression,10.0,l2,saga,500.0,,,,,,,,,,,,,,0.9834524257239565,0.001089986968498656,True
LogisticRegression,10.0,l1,saga,1000.0,,,,,,,,,,,,,,0.982850695750282,0.0013991030641397626,False
LogisticRegression,10.0,l2,saga,1000.0,,,,,,,,,,,,,,0.9832267769838285,0.0008771646325453657,False
KNN,,,,,3.0,uniform,euclidean,1.0,,,,,,,,,,0.9793155321549454,0.0013455091252349194,False
KNN,,,,,3.0,distance,euclidean,1.0,,,,,,,,,,0.9796916133884919,0.0012808865262073192,False
KNN,,,,,3.0,uniform,euclidean,2.0,,,,,,,,,,0.9793155321549454,0.0013455091252349194,False
KNN,,,,,3.0,distance,euclidean,2.0,,,,,,,,,,0.9796916133884919,0.0012808865262073192,False
KNN,,,,,5.0,uniform,euclidean,1.0,,,,,,,,,,0.9792403159082361,0.0013538924407671953,False
KNN,,,,,5.0,distance,euclidean,1.0,,,,,,,,,,0.9791650996615269,0.0010258128391866176,False
KNN,,,,,5.0,uniform,euclidean,2.0,,,,,,,,,,0.9792403159082361,0.0013538924407671953,False
KNN,,,,,5.0,distance,euclidean,2.0,,,,,,,,,,0.9791650996615269,0.0010258128391866176,False
KNN,,,,,7.0,uniform,euclidean,1.0,,,,,,,,,,0.9777359909740504,0.001671764631131477,False
KNN,,,,,7.0,distance,euclidean,1.0,,,,,,,,,,0.9780368559608876,0.0018207925441008268,False
KNN,,,,,7.0,uniform,euclidean,2.0,,,,,,,,,,0.9777359909740504,0.001671764631131477,False
KNN,,,,,7.0,distance,euclidean,2.0,,,,,,,,,,0.9780368559608876,0.0018207925441008268,False
KNN,,,,,3.0,uniform,manhattan,1.0,,,,,,,,,,0.9801429108687477,0.001020282810549125,False
KNN,,,,,3.0,distance,manhattan,1.0,,,,,,,,,,0.980218127115457,0.000844300275315645,False
KNN,,,,,3.0,uniform,manhattan,2.0,,,,,,,,,,0.9801429108687477,0.001020282810549125,False
KNN,,,,,3.0,distance,manhattan,2.0,,,,,,,,,,0.980218127115457,0.000844300275315645,False
KNN,,,,,5.0,uniform,manhattan,1.0,,,,,,,,,,0.9804437758555847,0.0008575971606612725,False
KNN,,,,,5.0,distance,manhattan,1.0,,,,,,,,,,0.9806694245957127,0.0005628668502104617,True
KNN,,,,,5.0,uniform,manhattan,2.0,,,,,,,,,,0.9804437758555847,0.0008575971606612725,False
KNN,,,,,5.0,distance,manhattan,2.0,,,,,,,,,,0.9806694245957127,0.0005628668502104617,False
KNN,,,,,7.0,uniform,manhattan,1.0,,,,,,,,,,0.9799924783753291,0.0015118278482317887,False
KNN,,,,,7.0,distance,manhattan,1.0,,,,,,,,,,0.9800676946220385,0.0010637183620707759,False
KNN,,,,,7.0,uniform,manhattan,2.0,,,,,,,,,,0.9799924783753291,0.0015118278482317887,False
KNN,,,,,7.0,distance,manhattan,2.0,,,,,,,,,,0.9800676946220385,0.0010637183620707759,False
RandomForest,,,,,,,,,50.0,10.0,2.0,1.0,,,,,,0.9804437758555847,0.0009212071240252857,False
RandomForest,,,,,,,,,100.0,10.0,2.0,1.0,,,,,,0.9811207220759683,0.00160265330971509,False
RandomForest,,,,,,,,,50.0,10.0,5.0,1.0,,,,,,0.9798420458819106,0.000969093548456194,False
RandomForest,,,,,,,,,100.0,10.0,5.0,1.0,,,,,,0.9810455058292591,0.0008771646325453657,False
RandomForest,,,,,,,,,50.0,10.0,2.0,2.0,,,,,,0.9801429108687477,0.0010476410889194497,False
RandomForest,,,,,,,,,100.0,10.0,2.0,2.0,,,,,,0.980744640842422,0.0007292485682461515,False
RandomForest,,,,,,,,,50.0,10.0,5.0,2.0,,,,,,0.9790898834148176,0.001725061292392617,False
RandomForest,,,,,,,,,100.0,10.0,5.0,2.0,,,,,,0.9801429108687476,0.0011003188295094332,False
RandomForest,,,,,,,,,50.0,20.0,2.0,1.0,,,,,,0.9843550206844679,0.0009978562738940965,False
RandomForest,,,,,,,,,100.0,20.0,2.0,1.0,,,,,,0.9842798044377586,0.0014739313984404132,False
RandomForest,,,,,,,,,50.0,20.0,5.0,1.0,,,,,,0.9842045881910494,0.001036784411590075,False
RandomForest,,,,,,,,,100.0,20.0,5.0,1.0,,,,,,0.9844302369311773,0.0008443002753156609,False
RandomForest,,,,,,,,,50.0,20.0,2.0,2.0,,,,,,0.9839789394509214,0.0008443002753156945,False
RandomForest,,,,,,,,,100.0,20.0,2.0,2.0,,,,,,0.9839789394509214,0.000774398656712079,False
RandomForest,,,,,,,,,50.0,20.0,5.0,2.0,,,,,,0.9840541556976307,0.0013991030641397734,False
RandomForest,,,,,,,,,100.0,20.0,5.0,2.0,,,,,,0.9843550206844679,0.0007743986567120767,False
RandomForest,,,,,,,,,50.0,,2.0,1.0,,,,,,0.9841293719443399,0.0010476410889194497,False
RandomForest,,,,,,,,,100.0,,2.0,1.0,,,,,,0.9842798044377586,0.0013950535532900646,False
RandomForest,,,,,,,,,50.0,,5.0,1.0,,,,,,0.9843550206844679,0.0013157469488180517,False
RandomForest,,,,,,,,,100.0,,5.0,1.0,,,,,,0.9847311019180143,0.0007743986567120746,True
RandomForest,,,,,,,,,50.0,,2.0,2.0,,,,,,0.9839037232042122,0.0009334090745386061,False
RandomForest,,,,,,,,,100.0,,2.0,2.0,,,,,,0.9840541556976306,0.0009690935484561973,False
RandomForest,,,,,,,,,50.0,,5.0,2.0,,,,,,0.9843550206844679,0.00045129748025575603,False
RandomForest,,,,,,,,,100.0,,5.0,2.0,,,,,,0.9842798044377584,0.0009632379447059362,False
SVM,0.1,,,,,,,,,,,,rbf,scale,2.0,,,0.9590071455434375,0.0035038178860781195,False
SVM,0.1,,,,,,,,,,,,poly,scale,2.0,,,0.9596088755171117,0.0031787208137067447,False
SVM,0.1,,,,,,,,,,,,rbf,auto,2.0,,,0.9467468973298232,0.0030423089005124832,False
SVM,0.1,,,,,,,,,,,,poly,auto,2.0,,,0.9085370440015043,0.005197001781158221,False
SVM,0.1,,,,,,,,,,,,rbf,scale,3.0,,,0.9590071455434375,0.0035038178860781195,False
SVM,0.1,,,,,,,,,,,,poly,scale,3.0,,,0.9601353892440768,0.003200007128421612,False
SVM,0.1,,,,,,,,,,,,rbf,auto,3.0,,,0.9467468973298232,0.0030423089005124832,False
SVM,0.1,,,,,,,,,,,,poly,auto,3.0,,,0.8873260624294848,0.005540533090847044,False
SVM,1.0,,,,,,,,,,,,rbf,scale,2.0,,,0.9788642346746897,0.002298714823608282,False
SVM,1.0,,,,,,,,,,,,poly,scale,2.0,,,0.978412937194434,0.0022888490492219745,False
SVM,1.0,,,,,,,,,,,,rbf,auto,2.0,,,0.976833396013539,0.002432638078795988,False
SVM,1.0,,,,,,,,,,,,poly,auto,2.0,,,0.9730725836780746,0.0020405656210982104,False
SVM,1.0,,,,,,,,,,,,rbf,scale,3.0,,,0.9788642346746897,0.002298714823608282,False
SVM,1.0,,,,,,,,,,,,poly,scale,3.0,,,0.9794659646483639,0.0020405656210982373,False
SVM,1.0,,,,,,,,,,,,rbf,auto,3.0,,,0.976833396013539,0.002432638078795988,False
SVM,1.0,,,,,,,,,,,,poly,auto,3.0,,,0.9707408800300865,0.0017217785847701405,False
SVM,10.0,,,,,,,,,,,,rbf,scale,2.0,,,0.9854080481383978,0.0018020531855149947,True
SVM,10.0,,,,,,,,,,,,poly,scale,2.0,,,0.9848063181647235,0.0026336429334353744,False
SVM,10.0,,,,,,,,,,,,rbf,auto,2.0,,,0.984655885671305,0.0018020531855149817,False
SVM,10.0,,,,,,,,,,,,poly,auto,2.0,,,0.9832267769838285,0.0020952821778389076,False
SVM,10.0,,,,,,,,,,,,rbf,scale,3.0,,,0.9854080481383978,0.0018020531855149947,False
SVM,10.0,,,,,,,,,,,,poly,scale,3.0,,,0.9848063181647237,0.0017250612923925743,False
SVM,10.0,,,,,,,,,,,,rbf,auto,3.0,,,0.984655885671305,0.0018020531855149817,False
SVM,10.0,,,,,,,,,,,,poly,auto,3.0,,,0.9838285069575028,0.0023546409691610967,False
XGBoost,,,,,,,,,50.0,3.0,,,,,,0.01,0.8,0.9684091763820986,0.002390409715241931,False
XGBoost,,,,,,,,,50.0,3.0,,,,,,0.01,1.0,0.9650244452801804,0.002572791481983785,False
XGBoost,,,,,,,,,100.0,3.0,,,,,,0.01,0.8,0.9717186912373073,0.0026314938976360986,False
XGBoost,,,,,,,,,100.0,3.0,,,,,,0.01,1.0,0.9701391500564123,0.0025903234836739497,False
XGBoost,,,,,,,,,50.0,5.0,,,,,,0.01,0.8,0.9740503948852952,0.0016649825965534908,False
XGBoost,,,,,,,,,50.0,5.0,,,,,,0.01,1.0,0.9711921775103424,0.0022134545272,False
XGBoost,,,,,,,,,100.0,5.0,,,,,,0.01,0.8,0.9757051523128994,0.0018051899210229632,False
XGBoost,,,,,,,,,100.0,5.0,,,,,,0.01,1.0,0.9742008273787137,0.001911735995056601,False
XGBoost,,,,,,,,,50.0,7.0,,,,,,0.01,0.8,0.9742008273787137,0.001675145351735223,False
XGBoost,,,,,,,,,50.0,7.0,,,,,,0.01,1.0,0.9714930424971794,0.001332835287451617,False
XGBoost,,,,,,,,,100.0,7.0,,,,,,0.01,0.8,0.9758555848063182,0.0013950535532900599,False
XGBoost,,,,,,,,,100.0,7.0,,,,,,0.01,1.0,0.9750282060925161,0.002148605770152035,False
XGBoost,,,,,,,,,50.0,3.0,,,,,,0.1,0.8,0.9806694245957127,0.0026012209801866315,False
XGBoost,,,,,,,,,50.0,3.0,,,,,,0.1,1.0,0.9806694245957127,0.0021353997091505773,False
XGBoost,,,,,,,,,100.0,3.0,,,,,,0.1,0.8,0.9832267769838285,0.0025573523881158478,False
XGBoost,,,,,,,,,100.0,3.0,,,,,,0.1,1.0,0.9830011282437006,0.002310987814326774,False
XGBoost,,,,,,,,,50.0,5.0,,,,,,0.1,0.8,0.9812711545693868,0.002663547380161838,False
XGBoost,,,,,,,,,50.0,5.0,,,,,,0.1,1.0,0.9821737495298983,0.00254626715002794,False
XGBoost,,,,,,,,,100.0,5.0,,,,,,0.1,0.8,0.9829259119969912,0.002759524080909249,False
XGBoost,,,,,,,,,100.0,5.0,,,,,,0.1,1.0,0.9830763444904098,0.0027430737162558077,False
XGBoost,,,,,,,,,50.0,7.0,,,,,,0.1,0.8,0.9820985332831892,0.0024326380787959563,False
XGBoost,,,,,,,,,50.0,7.0,,,,,,0.1,1.0,0.982324182023317,0.003535963677636152,False
XGBoost,,,,,,,,,100.0,7.0,,,,,,0.1,0.8,0.9831515607371191,0.0026847037679691337,False
XGBoost,,,,,,,,,100.0,7.0,,,,,,0.1,1.0,0.983377209477247,0.0033078049533352247,True
