Gene,AccuracyDrop,AccuracyDrop_Adipose_GTEx,AccuracyDrop_Artery_GTEx,AccuracyDrop_Brain_GTEx,AccuracyDrop_Breast_GTEx,AccuracyDrop_Colon_GTEx,AccuracyDrop_Esophagus_GTEx,AccuracyDrop_Heart_GTEx,AccuracyDrop_Kidney_GTEx,AccuracyDrop_Liver_GTEx,AccuracyDrop_Lung_GTEx,AccuracyDrop_Minor_GTEx,AccuracyDrop_Muscle_GTEx,AccuracyDrop_Nerve_GTEx,AccuracyDrop_Ovary_GTEx,AccuracyDrop_Pancreas_GTEx,AccuracyDrop_Pituitary_GTEx,AccuracyDrop_Prostate_GTEx,AccuracyDrop_Skin_GTEx,AccuracyDrop_Small_GTEx,AccuracyDrop_Spleen_GTEx,AccuracyDrop_Stomach_GTEx,AccuracyDrop_Testis_GTEx,AccuracyDrop_Thyroid_GTEx,AccuracyDrop_Uterus_GTEx,AccuracyDrop_Vagina_GTEx,AccuracyDrop_Whole_GTEx,AccuracyDrop_BLCA_TCGA,AccuracyDrop_BRCA_TCGA,AccuracyDrop_CESC_TCGA,AccuracyDrop_COAD_TCGA,AccuracyDrop_HNSC_TCGA,AccuracyDrop_KIRC_TCGA,AccuracyDrop_LGG_TCGA,AccuracyDrop_LIHC_TCGA,AccuracyDrop_LUAD_TCGA,AccuracyDrop_PAAD_TCGA,AccuracyDrop_PRAD_TCGA,AccuracyDrop_SKCM_TCGA,AccuracyDrop_STAD_TCGA,AccuracyDrop_THCA_TCGA,AccuracyDrop_UCEC_TCGA,AccuracyDrop_LUAD_METASTATIC,AccuracyDrop_PAAD_METASTATIC,AccuracyDrop_BRCA_METASTATIC,AccuracyDrop_COAD_METASTATIC,p_value
LHX9,0.032400555041628074,0.12400000000000003,0.007326007326007344,0.016326530612244892,0.15,0.030635838150288964,0.02828947368421054,0.01104972375690606,0.0318181818181818,0.0,0.008695652173913026,0.051351351351351326,0.0018292682926829285,0.03412698412698415,0.05666666666666666,0.013235294117647034,0.006779661016949134,0.05094339622641508,0.0,0.05227272727272732,0.003921568627450989,0.05384615384615391,0.0,0.03307086614173228,0.050000000000000044,0.0625,0.0,0.0129032258064516,0.08947368421052634,0.13125,0.014634146341463428,0.11777777777777779,0.007936507936507908,0.07800000000000001,0.0016393442622950837,-0.0034482758620689724,0.031034482758620686,0.0078125,0.015384615384615408,0.010714285714285687,0.009677419354838701,0.0015151515151515138,0.1600000000000001,0.11600000000000002,0.12249999999999997,0.08285714285714285,0.0003924646781789639
ISL2,0.020282146160962043,0.07319999999999996,0.000366300366300365,0.0010204081632653184,0.08690476190476192,0.02369942196531788,0.024013157894736868,0.01270718232044198,0.036363636363636355,0.0,0.006086956521739096,0.0324324324324324,0.0,0.025396825396825418,0.01333333333333333,0.004411764705882337,0.0,0.05471698113207546,0.0,0.040909090909090964,0.0,0.016666666666666698,0.0,0.028346456692913403,0.057692307692307744,0.04375,0.0,-0.004838709677419351,0.05964912280701756,0.0375,0.0024390243902439046,0.044444444444444474,0.003174603174603141,0.0020000000000000018,0.016393442622950838,-0.005172413793103459,0.017241379310344807,0.0046875,0.01923076923076924,0.0,0.0032258064516129,0.015151515151515148,0.21000000000000005,0.16,0.15749999999999997,0.07142857142857142,0.0007849293563579278
BAMBI,0.018894542090656753,0.06719999999999995,0.0036630036630036613,0.0014285714285714457,0.06785714285714285,0.026011560693641567,0.022039473684210553,0.00662983425414364,0.05454545454545453,0.002702702702702697,0.006086956521739117,0.008108108108108091,0.0,0.021428571428571443,0.04333333333333332,0.00588235294117645,0.0,0.02075471698113207,0.0,0.06136363636363641,0.005882352941176483,0.043589743589743636,0.0,0.0062992125984251855,0.08846153846153852,0.05625,0.0006622516556291424,0.019354838709677403,0.005263157894736881,0.015625,0.0024390243902439046,0.024444444444444456,0.007936507936507908,0.0040000000000000036,0.011475409836065587,-0.0017241379310344973,0.010344827586206884,0.003125,0.011538461538461563,0.0017857142857142794,0.0,0.034848484848484816,0.21000000000000005,0.19999999999999998,0.1125,0.10285714285714283,0.0011773940345368916
ALX1,0.017368177613320945,0.03480000000000002,0.001831501831501825,0.006326530612244896,0.09285714285714285,0.012138728323699388,0.01776315789473685,0.0055248618784530246,0.0318181818181818,0.03243243243243242,0.006956521739130439,0.010810810810810789,0.0,0.015873015873015883,0.029999999999999992,0.002941176470588225,0.0,0.026415094339622636,0.0,0.01590909090909095,0.0,0.03461538461538467,0.0,0.0015748031496062964,0.06538461538461544,0.021875,0.0,-0.008064516129032251,0.03157894736842108,0.075,0.004878048780487809,0.08222222222222225,0.003174603174603152,0.04400000000000002,0.027868852459016425,-0.0017241379310345083,0.017241379310344807,0.009375,0.03269230769230769,-0.0017857142857143128,0.00161290322580645,0.02424242424242422,0.21500000000000002,0.20400000000000001,0.06249999999999998,0.06857142857142856,0.0015698587127158557
MMP3,0.014986123959296905,0.07119999999999996,0.00146520146520146,0.001836734693877573,0.06309523809523808,0.002312138728323687,0.0052631578947368585,0.0016574585635359073,0.004545454545454542,0.0,0.0,0.021621621621621602,0.0006097560975609762,0.008730158730158744,0.039999999999999994,0.002941176470588225,0.003389830508474567,0.009433962264150941,0.0,0.027272727272727337,0.0,0.019230769230769284,0.0,0.003937007874015741,4.4408920985006264e-17,0.034375,0.0,-0.0032258064516129,0.026315789473684237,0.0640625,0.0,0.0977777777777778,0.0031746031746031633,0.008000000000000007,0.011475409836065587,0.0017241379310344751,0.0,0.0015625,0.015384615384615408,0.0035714285714285587,0.008064516129032251,0.004545454545454542,0.23000000000000004,0.14,0.12249999999999997,0.1,0.0019623233908948193
ITLN2,0.014685476410730758,0.07319999999999996,-0.000366300366300365,0.0016326530612245094,0.08452380952380951,0.02254335260115604,0.007565789473684237,0.0005524861878453025,0.009090909090909084,0.0,0.0017391304347825986,0.016216216216216207,0.0,0.013492063492063522,0.009999999999999998,0.0014705882352941124,0.0,0.0,0.0,0.050000000000000065,0.0,0.023076923076923106,0.0,0.0023622047244094444,0.019230769230769273,0.046875,0.0,0.0064516129032258,0.01228070175438598,0.0421875,0.0012195121951219523,0.08444444444444446,0.0031746031746031633,0.0,0.0049180327868852515,0.0017241379310344751,0.010344827586206884,0.0015625,0.007692307692307709,0.0035714285714285587,0.0,0.031818181818181815,0.13500000000000006,0.052000000000000005,0.08999999999999998,0.07714285714285715,0.002354788069073783
PLGLB2,0.014338575393154428,0.02200000000000002,-0.000366300366300365,0.000612244897959191,0.08333333333333333,0.02254335260115604,0.013815789473684215,0.00220994475138121,0.018181818181818167,0.016216216216216196,0.0017391304347825986,0.008108108108108091,0.0,0.007936507936507941,0.01333333333333333,0.00588235294117645,0.0016949152542372835,0.0,0.0,0.03409090909090916,0.0,0.014102564102564141,0.0,0.0007874015748031482,-0.011538461538461508,0.05,0.0,0.029032258064516103,0.01578947368421054,0.01875,0.014634146341463428,0.03555555555555558,0.0095238095238095,0.0,0.014754098360655754,0.010344827586206872,0.034482758620689634,0.0,0.007692307692307709,0.01607142857142855,0.009677419354838701,0.04090909090909091,0.23000000000000007,0.23600000000000004,0.12249999999999997,0.10285714285714283,0.0027472527472527475
FOXF1,0.013714153561517084,0.031200000000000026,-0.001098901098901095,0.0010204081632653184,0.06785714285714285,0.008092485549132911,0.013486842105263163,0.006077348066298327,0.03636363636363636,0.0,0.0017391304347825986,0.002702702702702697,0.0,0.01349206349206351,0.009999999999999998,0.004411764705882337,0.0016949152542372835,0.030188679245283012,0.0003623188405797118,0.0,0.0,0.012820512820512853,0.0,0.0015748031496062964,0.019230769230769263,0.028125,0.0,0.02096774193548385,0.0578947368421053,0.0515625,0.004878048780487809,0.08444444444444447,0.004761904761904745,0.0040000000000000036,0.008196721311475419,0.0,0.006896551724137922,0.0046875,0.009615384615384626,0.0035714285714285587,0.004838709677419351,0.018181818181818167,0.1750000000000001,0.176,0.11999999999999997,0.07714285714285712,0.0031397174254317113
TYR,0.013667900092506879,0.014000000000000012,-0.002564102564102555,0.0022448979591837004,0.07023809523809524,0.002312138728323665,0.03190789473684212,0.0005524861878453025,0.004545454545454542,0.0,0.0,0.008108108108108091,0.0,0.006349206349206338,0.009999999999999998,0.004411764705882337,0.0,0.028301886792452824,0.0,0.009090909090909127,0.0019607843137254945,0.0,0.0,0.0,0.007692307692307732,0.01875,0.0,-0.004838709677419351,0.021052631578947413,0.1015625,0.0060975609756097615,0.10000000000000002,0.0095238095238095,0.0,0.011475409836065587,0.0017241379310344751,0.010344827586206884,0.0078125,0.023076923076923106,0.0017857142857142794,0.0064516129032258,0.022727272727272717,0.15500000000000008,0.21600000000000003,0.10499999999999998,0.11428571428571428,0.003532182103610675
FOXL2,0.013228492136910219,0.04160000000000001,-0.00146520146520146,0.0008163265306122547,0.09166666666666665,0.001156069364161838,0.029605263157894735,0.001104972375690605,0.009090909090909084,0.0,0.0,0.005405405405405394,0.0,0.0023809523809523725,0.02666666666666666,0.002941176470588225,0.008474576271186429,0.026415094339622636,0.0003623188405797118,0.009090909090909127,0.0,0.0051282051282051655,0.0,0.0007874015748031482,0.05769230769230775,0.05,0.0,0.0032258064516129,0.0035087719298245944,0.009375,0.01097560975609757,0.01777777777777779,0.007936507936507908,0.0,0.009836065573770503,-0.00517241379310347,0.02068965517241377,0.0015625,0.0038461538461538546,0.0071428571428571175,0.0,0.004545454545454542,0.1800000000000001,0.16399999999999998,0.15499999999999994,0.08571428571428572,0.003924646781789639
HSD17B2,0.013020351526364448,0.027600000000000024,0.00073260073260073,0.001224489795918382,0.07023809523809524,0.005780346820809223,-0.0009868421052631414,0.0016574585635359073,0.009090909090909084,0.0,0.0,0.002702702702702697,0.0,0.011111111111111117,0.009999999999999998,0.007352941176470562,0.0,0.007547169811320753,0.0,0.015909090909090973,0.0,0.011538461538461576,0.0,0.0,0.057692307692307744,0.01875,0.0,0.04354838709677418,0.05263157894736843,0.1453125,0.013414634146341475,0.07555555555555557,0.014285714285714258,0.0020000000000000018,0.006557377049180335,0.0017241379310344528,0.010344827586206895,0.0015625,0.011538461538461543,0.0017857142857142683,0.0032258064516129,0.009090909090909084,0.13000000000000006,0.11599999999999999,0.11249999999999996,0.06285714285714286,0.0043171114599686025
PCP4,0.012835337650323719,0.028400000000000026,0.0,0.0020408163265306367,0.05833333333333333,0.03179190751445082,0.010855263157894734,0.0027624309392265123,0.03636363636363634,0.0,0.003478260869565197,0.010810810810810789,0.0,0.023015873015873035,0.01333333333333333,0.0014705882352941124,0.0,0.03584905660377358,0.0,0.052272727272727325,0.0,0.023076923076923106,0.0,0.003937007874015741,0.02692307692307695,0.053125,0.0,0.009677419354838701,0.0017543859649123083,0.0484375,-0.0060975609756097615,0.05555555555555558,0.00952380952380949,0.0,0.009836065573770503,0.008620689655172376,0.0,0.0015625,0.009615384615384637,0.0,0.00161290322580645,0.007575757575757569,0.15500000000000008,0.096,0.08499999999999999,0.048571428571428585,0.004709576138147566
